Purpose_of_flight,Total_Fatal_Injuries,Broad_phase_of_flight,year
,,Cruise,2003
Personal,,Descent,2003
Aerial Application,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Approach,2003
Business,2,Approach,2003
Personal,,Approach,2003
Personal,,Descent,2003
Personal,,Landing,2003
,1,Landing,2003
Unknown,,Standing,2003
Personal,,Maneuvering,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Other Work Use,,Maneuvering,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,4,Cruise,2003
Instructional,,Landing,2003
Instructional,,Landing,2003
Instructional,,Landing,2003
Aerial Application,,Landing,2003
Personal,,Landing,2003
Personal,1,Maneuvering,2003
Aerial Observation,,Maneuvering,2003
Personal,,Takeoff,2003
Aerial Application,,Maneuvering,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Landing,2003
Business,,Takeoff,2003
Personal,,Cruise,2003
Business,,Landing,2003
Aerial Application,,Takeoff,2003
Personal,,Descent,2003
Instructional,1,Climb,2003
Personal,,Cruise,2003
Personal,,Taxi,2003
Personal,,Cruise,2003
Instructional,,Takeoff,2003
Personal,,Landing,2003
Personal,1,Maneuvering,2003
Personal,1,Takeoff,2003
,,Descent,2003
Aerial Application,,Maneuvering,2003
Personal,,Approach,2003
Instructional,,Standing,2003
Personal,,Approach,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Personal,1,Takeoff,2003
Personal,,Taxi,2003
Personal,1,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Other Work Use,,Cruise,2003
Personal,3,Climb,2003
Personal,,Takeoff,2003
Personal,,Go-around,2003
Personal,,Landing,2003
Instructional,,Climb,2003
Aerial Application,,Maneuvering,2003
Personal,,Landing,2003
Aerial Observation,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Personal,1,Maneuvering,2003
Personal,,Takeoff,2003
Personal,1,Takeoff,2003
,,Cruise,2003
Aerial Application,,Approach,2003
Personal,,Cruise,2003
Personal,,Approach,2003
,,Maneuvering,2003
Personal,,Landing,2003
Personal,1,Descent,2003
Personal,,Landing,2003
Personal,,Climb,2003
Personal,,Takeoff,2003
Aerial Application,,Maneuvering,2003
Personal,,Takeoff,2003
Personal,1,Unknown,2003
Positioning,1,Takeoff,2003
,,Climb,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Instructional,,Landing,2003
,5,Maneuvering,2003
Unknown,,Approach,2003
Personal,,Taxi,2003
Instructional,,Go-around,2003
Personal,,Approach,2003
Personal,,Cruise,2003
Personal,,Approach,2003
Instructional,,Takeoff,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Other Work Use,,Cruise,2003
Instructional,,Landing,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Instructional,,Takeoff,2003
Personal,,Climb,2003
Public Aircraft,1,Cruise,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Aerial Application,,Cruise,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Public Aircraft,2,Approach,2003
Personal,4,Takeoff,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Unknown,1,Takeoff,2003
Other Work Use,,Maneuvering,2003
Personal,1,Climb,2003
Personal,1,Takeoff,2003
Personal,,Maneuvering,2003
Instructional,,Taxi,2003
Personal,,Maneuvering,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Aerial Application,,Takeoff,2003
Public Aircraft,,Takeoff,2003
Aerial Application,,Maneuvering,2003
Public Aircraft,,Maneuvering,2003
Aerial Application,,Takeoff,2003
Personal,,Approach,2003
,,Cruise,2003
Unknown,,Landing,2003
Personal,,Landing,2003
Personal,1,Climb,2003
Personal,,Go-around,2003
,,Cruise,2003
Personal,,Landing,2003
Business,,Taxi,2003
,,Taxi,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Descent,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Aerial Application,,Maneuvering,2003
Other Work Use,,Landing,2003
Business,,Takeoff,2003
Personal,2,Maneuvering,2003
Personal,1,Cruise,2003
Personal,,Landing,2003
,,Cruise,2003
Personal,1,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Positioning,2,Maneuvering,2003
Personal,1,Cruise,2003
Business,,Landing,2003
,,Cruise,2003
Personal,1,Maneuvering,2003
Personal,1,Cruise,2003
Personal,1,Approach,2003
Personal,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Approach,2003
Aerial Application,,Takeoff,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Business,,Takeoff,2003
Business,,Landing,2003
Personal,,Takeoff,2003
Personal,,Descent,2003
,,Cruise,2003
Instructional,,Cruise,2003
,,Cruise,2003
Personal,1,Takeoff,2003
Personal,2,Approach,2003
Personal,1,Takeoff,2003
Personal,3,Takeoff,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Positioning,,Takeoff,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Aerial Application,,Maneuvering,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Personal,,Go-around,2003
Business,,Landing,2003
Personal,,Takeoff,2003
Other Work Use,,Maneuvering,2003
Personal,,Takeoff,2003
Instructional,,Landing,2003
,3,Takeoff,2003
,,Takeoff,2003
Aerial Application,1,Maneuvering,2003
,,Cruise,2003
Aerial Application,,Maneuvering,2003
Personal,,Takeoff,2003
Aerial Application,,Takeoff,2003
Business,,Landing,2003
Personal,,Climb,2003
Personal,1,Maneuvering,2003
Personal,,Approach,2003
Instructional,,Maneuvering,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,,Takeoff,2003
,,Descent,2003
Personal,2,Unknown,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
,2,Maneuvering,2003
Personal,2,Cruise,2003
Personal,2,Maneuvering,2003
Personal,2,Unknown,2003
Positioning,,Takeoff,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Aerial Observation,,Maneuvering,2003
,,Landing,2003
Aerial Application,,Maneuvering,2003
Aerial Application,,Landing,2003
Personal,,Cruise,2003
Personal,,Cruise,2003
Aerial Application,1,Maneuvering,2003
Aerial Application,,Maneuvering,2003
Personal,,Takeoff,2003
Positioning,,Cruise,2003
Personal,,Landing,2003
Personal,,Landing,2003
Other Work Use,,Landing,2003
Aerial Application,,Maneuvering,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Positioning,,Cruise,2003
Personal,,Landing,2003
Positioning,,Landing,2003
Business,2,Approach,2003
Personal,,Approach,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Aerial Application,,Maneuvering,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,3,Cruise,2003
Personal,,Descent,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Maneuvering,2003
Personal,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Maneuvering,2003
Personal,1,Cruise,2003
Personal,,Cruise,2003
Instructional,,Taxi,2003
Aerial Application,,Takeoff,2003
,,Climb,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Instructional,,Approach,2003
Aerial Application,,Cruise,2003
Air Race/show,,Landing,2003
Business,,Landing,2003
Personal,,Landing,2003
Personal,1,Go-around,2003
,,Taxi,2003
Other Work Use,,Climb,2003
Personal,,Cruise,2003
Instructional,,Landing,2003
Personal,,Maneuvering,2003
Aerial Application,,Maneuvering,2003
Other Work Use,,Maneuvering,2003
Personal,,Cruise,2003
Personal,,Cruise,2003
Instructional,1,Cruise,2003
Instructional,,Takeoff,2003
Personal,2,Approach,2003
Positioning,2,Takeoff,2003
Personal,,Takeoff,2003
Flight Test,,Other,2003
Flight Test,1,Takeoff,2003
Personal,,Cruise,2003
Personal,2,Approach,2003
Instructional,,Landing,2003
Instructional,,Approach,2003
Personal,,Takeoff,2003
Personal,,Cruise,2003
Business,,Cruise,2003
Instructional,,Takeoff,2003
Personal,,Maneuvering,2003
Personal,1,Approach,2003
Personal,,Maneuvering,2003
Instructional,,Takeoff,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,,Approach,2003
Personal,,Go-around,2003
Personal,,Landing,2003
Instructional,,Takeoff,2003
Instructional,2,Maneuvering,2003
Personal,2,Takeoff,2003
Personal,,Cruise,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Takeoff,2003
Personal,3,Go-around,2003
,,Taxi,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Instructional,,Landing,2003
,,Standing,2003
Personal,2,Landing,2003
Personal,3,Cruise,2003
Personal,,Descent,2003
Public Aircraft,,Maneuvering,2003
Positioning,,Takeoff,2003
Personal,,Landing,2003
Personal,1,Maneuvering,2003
,,Takeoff,2003
Personal,,Unknown,2003
Personal,,Cruise,2003
Personal,,Climb,2003
Executive/corporate,,Descent,2003
Instructional,,Go-around,2003
Personal,,Takeoff,2003
,,Takeoff,2003
Personal,,Climb,2003
Personal,,Maneuvering,2003
Personal,,Approach,2003
Personal,,Takeoff,2003
Personal,,Descent,2003
Business,,Landing,2003
Personal,,Takeoff,2003
Personal,,Go-around,2003
Personal,,Standing,2003
Personal,2,Takeoff,2003
Personal,1,Maneuvering,2003
Instructional,,Takeoff,2003
Personal,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Other Work Use,,Approach,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,1,Maneuvering,2003
Personal,,Maneuvering,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Instructional,,Takeoff,2003
,,Cruise,2003
Personal,,Approach,2003
Aerial Application,,Descent,2003
Ferry,,Landing,2003
Aerial Application,,Maneuvering,2003
Aerial Application,,Takeoff,2003
Personal,,Descent,2003
Personal,,Approach,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Approach,2003
Personal,,Landing,2003
,,Takeoff,2003
Personal,,Maneuvering,2003
Instructional,,Landing,2003
Personal,,Takeoff,2003
Business,,Maneuvering,2003
Personal,,Takeoff,2003
,1,Standing,2003
,,Standing,2003
Aerial Application,1,Maneuvering,2003
Air Race/show,,Maneuvering,2003
Business,,Landing,2003
Aerial Application,,Cruise,2003
Personal,1,Descent,2003
Personal,,Takeoff,2003
Personal,2,Maneuvering,2003
Personal,,Landing,2003
Other Work Use,3,Takeoff,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Approach,2003
Personal,,Landing,2003
Personal,1,Maneuvering,2003
Personal,2,Go-around,2003
Personal,,Approach,2003
Flight Test,,Cruise,2003
Personal,,Approach,2003
Personal,1,Descent,2003
Personal,,Taxi,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Instructional,,Landing,2003
Ferry,,Cruise,2003
Instructional,1,Climb,2003
Positioning,,Taxi,2003
Business,,Takeoff,2003
Aerial Application,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Cruise,2003
Aerial Observation,,Cruise,2003
Personal,1,Takeoff,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Positioning,1,Landing,2003
Personal,,Taxi,2003
Personal,,Landing,2003
Personal,,Go-around,2003
Positioning,,Landing,2003
Personal,,Cruise,2003
,7,Maneuvering,2003
Instructional,3,Maneuvering,2003
Personal,,Landing,2003
,,Taxi,2003
Personal,,Maneuvering,2003
Personal,,Cruise,2003
Personal,,Approach,2003
Personal,,Descent,2003
Personal,2,Unknown,2003
Personal,,Approach,2003
Personal,,Landing,2003
Personal,,Cruise,2003
,1,Go-around,2003
Personal,,Takeoff,2003
Business,,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Maneuvering,2003
Positioning,,Landing,2003
Unknown,,Landing,2003
Positioning,,Takeoff,2003
Personal,,Landing,2003
Personal,,Landing,2003
,,Taxi,2003
Personal,1,Takeoff,2003
Personal,2,Climb,2003
Personal,,Landing,2003
,,Taxi,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Maneuvering,2003
Instructional,2,Maneuvering,2003
Personal,2,Approach,2003
Personal,2,Cruise,2003
Personal,,Cruise,2003
Personal,,Approach,2003
Instructional,,Maneuvering,2003
Other Work Use,,Standing,2003
Other Work Use,,Takeoff,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Takeoff,2003
Personal,1,Takeoff,2003
Personal,,Takeoff,2003
Personal,,Approach,2003
Instructional,,Go-around,2003
Personal,,Climb,2003
Personal,,Descent,2003
Personal,1,Maneuvering,2003
Personal,2,Climb,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Other Work Use,,Cruise,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Descent,2003
Personal,1,Go-around,2003
Positioning,2,Maneuvering,2003
Personal,2,Cruise,2003
Personal,2,Maneuvering,2003
Unknown,,Cruise,2003
,,Standing,2003
Instructional,,Landing,2003
Air Race/show,,Takeoff,2003
Personal,,Approach,2003
Personal,,Landing,2003
Aerial Observation,2,Maneuvering,2003
Personal,,Cruise,2003
Personal,,Maneuvering,2003
Personal,,Takeoff,2003
Personal,,Climb,2003
,,Climb,2003
Ferry,,Standing,2003
Personal,,Cruise,2003
Personal,2,Cruise,2003
,,Taxi,2003
Personal,,Descent,2003
Personal,,Takeoff,2003
Public Aircraft,,Maneuvering,2003
Public Aircraft,,Cruise,2003
Business,,Maneuvering,2003
Personal,1,Maneuvering,2003
Business,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Personal,,Approach,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Personal,,Landing,2003
Business,,Landing,2003
Personal,,Approach,2003
Personal,2,Cruise,2003
Personal,,Go-around,2003
Personal,,Landing,2003
,3,Maneuvering,2003
Personal,1,Maneuvering,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
Instructional,,Approach,2003
Personal,,Landing,2003
Personal,1,Approach,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Descent,2003
Positioning,,Go-around,2003
Personal,,Maneuvering,2003
Instructional,,Landing,2003
Personal,,Cruise,2003
Personal,1,Maneuvering,2003
,,Takeoff,2003
Other Work Use,,Maneuvering,2003
Flight Test,,Takeoff,2003
Aerial Application,,Maneuvering,2003
Personal,,Taxi,2003
Personal,,Cruise,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Personal,1,Descent,2003
Other Work Use,2,Maneuvering,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Instructional,,Landing,2003
Personal,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Public Aircraft,,Approach,2003
Aerial Application,,Maneuvering,2003
Personal,,Go-around,2003
,,Climb,2003
Instructional,,Takeoff,2003
Personal,2,Maneuvering,2003
Public Aircraft,,Approach,2003
Personal,,Cruise,2003
Personal,,Maneuvering,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Personal,,Go-around,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Positioning,,Takeoff,2003
,,Taxi,2003
Personal,,Descent,2003
Other Work Use,,Descent,2003
Personal,,Approach,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,1,Maneuvering,2003
Personal,,Landing,2003
Personal,2,Maneuvering,2003
Air Race/show,1,Maneuvering,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Instructional,2,Approach,2003
Personal,1,Maneuvering,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,1,Maneuvering,2003
Personal,1,Takeoff,2003
Personal,,Approach,2003
Personal,1,Takeoff,2003
Instructional,1,Takeoff,2003
Personal,,Landing,2003
Aerial Application,,Maneuvering,2003
Personal,,Landing,2003
Personal,2,Maneuvering,2003
Instructional,,Maneuvering,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Descent,2003
Instructional,,Approach,2003
Personal,1,Maneuvering,2003
Instructional,,Descent,2003
Personal,,Approach,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Instructional,,Taxi,2003
Personal,,Approach,2003
Personal,,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Approach,2003
Instructional,,Approach,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Instructional,,Climb,2003
Personal,,Go-around,2003
Business,1,Approach,2003
Personal,,Approach,2003
Personal,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Personal,,Landing,2003
Instructional,,Takeoff,2003
Instructional,1,Cruise,2003
,1,Approach,2003
Personal,5,Cruise,2003
Instructional,,Maneuvering,2003
Personal,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Takeoff,2003
Instructional,,Approach,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
,,Landing,2003
Personal,,Landing,2003
,,Descent,2003
Instructional,,Climb,2003
Personal,1,Approach,2003
Personal,,Landing,2003
Instructional,,Takeoff,2003
Personal,,Maneuvering,2003
Personal,,Cruise,2003
Personal,2,Maneuvering,2003
Personal,1,Maneuvering,2003
Business,1,Go-around,2003
,,Cruise,2003
Positioning,,Cruise,2003
Personal,,Landing,2003
,,Cruise,2003
Personal,,Landing,2003
Instructional,,Takeoff,2003
Personal,,Landing,2003
Personal,1,Maneuvering,2003
Personal,,Landing,2003
Instructional,2,Takeoff,2003
Personal,,Maneuvering,2003
Personal,,Approach,2003
Instructional,,Landing,2003
Instructional,,Landing,2003
Personal,1,Cruise,2003
Skydiving,,Approach,2003
Personal,,Landing,2003
Personal,,Descent,2003
Instructional,,Landing,2003
Instructional,,Takeoff,2003
Personal,,Approach,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,,Descent,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Maneuvering,2003
Personal,,Landing,2003
,,Taxi,2003
Instructional,,Maneuvering,2003
,,Taxi,2003
Personal,2,Cruise,2003
Aerial Application,,Takeoff,2003
Personal,,Takeoff,2003
,,Approach,2003
,,Takeoff,2003
Flight Test,,Taxi,2003
,,Taxi,2003
Positioning,,Approach,2003
Personal,1,Cruise,2003
,,Takeoff,2003
Instructional,,Landing,2003
Personal,,Standing,2003
Personal,,Descent,2003
Instructional,,Landing,2003
Instructional,,Landing,2003
Personal,,Go-around,2003
Instructional,2,Takeoff,2003
Personal,,Takeoff,2003
Personal,1,Maneuvering,2003
Ferry,,Cruise,2003
,,Takeoff,2003
Personal,1,Cruise,2003
Personal,,Takeoff,2003
Aerial Application,,Maneuvering,2003
Instructional,,Maneuvering,2003
,,Landing,2003
Instructional,,Takeoff,2003
Personal,,Standing,2003
Instructional,,Approach,2003
Personal,1,Maneuvering,2003
Business,2,Maneuvering,2003
Other Work Use,1,Maneuvering,2003
Other Work Use,3,Takeoff,2003
Instructional,,Takeoff,2003
Unknown,,Cruise,2003
Instructional,,Landing,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Personal,3,Maneuvering,2003
Public Aircraft,2,Cruise,2003
Flight Test,1,Takeoff,2003
Instructional,,Landing,2003
Instructional,,Landing,2003
Personal,,Approach,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Public Aircraft,,Takeoff,2003
Instructional,,Go-around,2003
Personal,,Landing,2003
,,Approach,2003
Personal,,Landing,2003
Personal,4,Cruise,2003
Positioning,,Cruise,2003
,,Landing,2003
Aerial Observation,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,1,Approach,2003
Positioning,,Takeoff,2003
Instructional,,Maneuvering,2003
Positioning,,Maneuvering,2003
,,Approach,2003
,1,Approach,2003
,,Approach,2003
Instructional,,Taxi,2003
Personal,,Approach,2003
Personal,,Landing,2003
,1,Cruise,2003
Personal,1,Maneuvering,2003
,,Standing,2003
Personal,,Approach,2003
Personal,,Approach,2003
Business,,Approach,2003
Aerial Observation,,Approach,2003
Personal,,Landing,2003
,,Taxi,2003
Instructional,,Approach,2003
Personal,1,Takeoff,2003
,,Cruise,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Instructional,2,Maneuvering,2003
Personal,2,Approach,2003
Positioning,2,Approach,2003
Personal,1,Approach,2003
Personal,,Takeoff,2003
Executive/corporate,,Takeoff,2003
Personal,,Cruise,2003
Personal,,Landing,2003
Instructional,,Cruise,2003
Public Aircraft,,Cruise,2003
Personal,2,Cruise,2003
Unknown,,Maneuvering,2003
Instructional,,Cruise,2003
Personal,1,Takeoff,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Taxi,2003
Personal,,Landing,2003
Personal,1,Approach,2003
Personal,2,Approach,2003
Instructional,,Landing,2003
Executive/corporate,2,Climb,2003
,,Taxi,2003
Personal,1,Maneuvering,2003
Business,4,Maneuvering,2003
,,Cruise,2003
Personal,,Landing,2003
Personal,,Landing,2003
Personal,,Takeoff,2003
Personal,,Takeoff,2003
,,Taxi,2003
Personal,1,Approach,2003
Personal,,Cruise,2003
Instructional,2,Takeoff,2003
Personal,2,Maneuvering,2003
Personal,2,Unknown,2003
Personal,2,Takeoff,2003
Personal,,Takeoff,2003
Personal,1,Cruise,2003
Personal,1,Descent,2003
Personal,,Landing,2003
Personal,,Approach,2003
Personal,,Landing,2003
,,Landing,2003
Personal,,Landing,2003
Positioning,,Maneuvering,2003
Business,,Takeoff,2003
Personal,,Landing,2003
Personal,,Landing,2003
Other Work Use,,Takeoff,2003
Personal,,Landing,2003
Personal,4,Cruise,2003
Personal,1,Takeoff,2003
Instructional,,Taxi,2003
Personal,2,Climb,2003
Personal,2,Landing,2003
Personal,,Landing,2003
,,Landing,2003
,,Takeoff,2003
Other Work Use,,Approach,2003
Personal,,Cruise,2003
Personal,,Cruise,2003
Personal,,Takeoff,2003
Personal,,Landing,2003
Personal,,Approach,2003
Instructional,,Cruise,2003
Personal,1,Maneuvering,2003
Personal,2,Maneuvering,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Go-around,2003
Personal,2,Approach,2003
Personal,,Landing,2003
Personal,,Descent,2003
Personal,,Cruise,2003
Instructional,,Approach,2003
Positioning,,Maneuvering,2003
,,Landing,2003
Instructional,,Maneuvering,2003
Personal,,Cruise,2003
Positioning,3,Cruise,2003
Executive/corporate,2,Climb,2003
Personal,,Landing,2003
Instructional,5,Go-around,2003
Personal,,Go-around,2003
Personal,6,Takeoff,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,1,Standing,2003
Personal,,Landing,2003
Personal,,Landing,2003
Instructional,,Landing,2003
Personal,,Landing,2003
Personal,,Maneuvering,2003
Personal,,Landing,2003
Positioning,,Taxi,2003
Personal,,Maneuvering,2003
Personal,,Landing,2003
Personal,1,Approach,2003
Personal,1,Cruise,2003
Instructional,4,Maneuvering,2003
Personal,,Go-around,2003
Instructional,,Takeoff,2003
Personal,,Landing,2003
Personal,,Landing,2003
Instructional,,Standing,2003
Personal,,Cruise,2003
Personal,1,Cruise,2003
Personal,1,Cruise,2004
Personal,,Cruise,2004
Personal,,Cruise,2004
Unknown,4,Maneuvering,2004
Personal,2,Takeoff,2004
Personal,,Approach,2004
,,Maneuvering,2004
Instructional,2,Approach,2004
Personal,,Landing,2004
,,Approach,2004
Personal,,Taxi,2004
Personal,,Go-around,2004
Personal,,Landing,2004
Personal,,Landing,2004
Personal,,Takeoff,2004
Personal,1,Cruise,2004
Positioning,1,Maneuvering,2004
Personal,,Takeoff,2004
Personal,1,Cruise,2004
Personal,,Taxi,2004
Flight Test,,Takeoff,2004
Personal,,Landing,2004
,,Climb,2004
Public Aircraft,,Maneuvering,2004
Personal,,Takeoff,2004
Personal,,Approach,2004
Personal,,Landing,2004
Other Work Use,,Climb,2004
Personal,,Landing,2004
Personal,2,Cruise,2004
Personal,,Cruise,2004
Personal,,Taxi,2004
Personal,,Landing,2004
Personal,,Takeoff,2004
Business,,Maneuvering,2004
Flight Test,2,Maneuvering,2004
Instructional,,Maneuvering,2004
Personal,,Descent,2004
Instructional,,Landing,2004
Executive/corporate,,Approach,2004
Personal,,Takeoff,2004
Personal,,Landing,2004
Instructional,,Takeoff,2004
Personal,,Landing,2004
Personal,,Standing,2004
Personal,1,Maneuvering,2004
Personal,1,Climb,2004
Instructional,,Cruise,2004
Personal,1,Approach,2004
Personal,,Cruise,2004
Personal,,Climb,2004
Personal,,Landing,2004
Instructional,2,Takeoff,2004
,,Landing,2004
Personal,1,Landing,2004
Personal,,Cruise,2004
Personal,,Landing,2004
Personal,,Landing,2004
Personal,,Descent,2004
Personal,,Takeoff,2004
,,Landing,2004
Flight Test,,Takeoff,2004
Instructional,2,Approach,2004
Personal,2,Approach,2004
,,Takeoff,2004
Personal,,Descent,2004
Instructional,,Landing,2004
Personal,,Landing,2004
,1,Cruise,2004
Business,,Landing,2004
Personal,,Landing,2004
Instructional,,Takeoff,2004
Aerial Observation,,Cruise,2004
Personal,,Approach,2004
Personal,2,Climb,2004
Personal,,Maneuvering,2004
Personal,1,Landing,2004
Personal,,Approach,2004
Instructional,,Landing,2004
Personal,,Descent,2004
Instructional,,Landing,2004
Personal,,Cruise,2004
Personal,,Takeoff,2004
Personal,,Standing,2004
Personal,,Maneuvering,2004
Personal,,Landing,2004
Personal,1,Maneuvering,2004
Instructional,,Approach,2004
,,Cruise,2004
Business,,Landing,2004
Instructional,,Approach,2004
Positioning,,Taxi,2004
Personal,,Landing,2004
Personal,2,Descent,2004
Personal,1,Cruise,2004
Positioning,3,Cruise,2004
,,Standing,2004
Personal,,Descent,2004
Personal,,Approach,2004
Personal,,Landing,2004
Personal,,Cruise,2004
Positioning,,Cruise,2004
Instructional,,Landing,2004
Personal,,Landing,2004
Personal,1,Cruise,2004
Personal,,Climb,2004
Personal,,Landing,2004
Personal,,Landing,2004
Personal,,Landing,2004
Personal,,Cruise,2004
Personal,,Approach,2004
Instructional,,Landing,2004
Personal,,Standing,2004
Instructional,,Takeoff,2004
Personal,,Takeoff,2004
Personal,,Approach,2004
Ferry,,Takeoff,2004
Personal,,Landing,2004
Personal,,Landing,2004
Personal,,Maneuvering,2004
Business,,Takeoff,2004
Business,,Landing,2004
,,Takeoff,2004
Personal,,Landing,2004
Personal,,Approach,2004
Personal,,Landing,2004
Personal,3,Approach,2004
Personal,1,Go-around,2004
Personal,,Landing,2004
Instructional,,Landing,2004
Instructional,,Landing,2004
Instructional,,Landing,2004
